id,text,screen_name,time
727124114352263168,How about selling $WMT to buy $AMZN--clearly the way to go if you listen to him...  https://t.co/XYglmhCQZO,jimcramer,Mon May 02 13:14:32 +0000 2016
727121557718482944,$WMT https://t.co/dZWRGe19sM Pot. resume Downtrend in pullback LONGERTERM Wly-Dly-Hly combo chart #trading #stocks https://t.co/MsQuqHJLON,fgusequity,Mon May 02 13:04:23 +0000 2016
727099882381688835,if u look at the chart of walmart it a massive bear flag that will collapse sooner or later $WMT that warren buffet is showing on #CNBC,punkcap,Mon May 02 11:38:15 +0000 2016
727094250165309440,"SELL #Wal-Mart Stores, $WMT. Target: 65.67 (-1.79%).
 https://t.co/e3TOWE1bTz  #trading #stocks #investing",eventstrendcom,Mon May 02 11:15:52 +0000 2016
727069015558868992,"Stocks with implied volatility movement; Barrick Gold $ABX 57, Wal-Mart $WMT 21 according to IVolatility.",ivolatility,Mon May 02 09:35:36 +0000 2016
727063458915713024,"Wal-Mart Stores, Inc. $WMT Shares Bought by Price T Rowe Associates Inc. MD https://t.co/hC2CTaiWYW",dailypoliticaln,Mon May 02 09:13:31 +0000 2016
727063198126366721,#Walmart Wal-Mart to close a store in Fort Worth next month. Read more: https://t.co/zNPuKbMEXM $WMT,discountstores_,Mon May 02 09:12:29 +0000 2016
727024588316614656,Dogs Of The #Dow Outpacing Broader Market $DIA Also $WMT $INTC https://t.co/Bn1qWdOmHm,TalkMarkets,Mon May 02 06:39:03 +0000 2016
727021293137072129,"Viral Video on how Amazon is taking over retail!
https://t.co/Xg9HseC7aD
$AMZN $WMT $TGT $HD $LOW $M $JCP $DKS $CAB $LB $BABA $BIDU $KR $WFM",toptrader2015,Mon May 02 06:25:58 +0000 2016
727020193851936768,"Viral Video on how to invest like WARREN BUFFETT! https://t.co/TAwkccuMj8
$AAPL $GOOG $AMZN $WMT $DOW $DD $MCD $F $GM $GE $JNJ $PG $KMB $TGT",toptrader2015,Mon May 02 06:21:36 +0000 2016
726985611526053889,"April 2016 #dividendincome and new positions started: https://t.co/6RmbuldmEz 
$SBUX $UL $BNS $KO $WMT",moneyinpajamas,Mon May 02 04:04:11 +0000 2016
