id,text,screen_name,time
727176856194031616,#Microsoft : https://t.co/4gdeAerQ9N opens Microsoft online store for UAE and Saudi customers . Read more: https://t.co/BwYZXdjxfB $MSFT,App_sw_,Mon May 02 16:44:07 +0000 2016
727175459096514560,#Microsoft The New Xbox One: What We Think We Know About Xbox 1.5. Read more: https://t.co/tu9Pfui9Wx $MSFT,App_sw_,Mon May 02 16:38:34 +0000 2016
727174838083690496,Cloud Services Offered by #Microsoft in India Experience a Higher Rate of Adoption. Read more: https://t.co/hmA97ZygHP $MSFT,App_sw_,Mon May 02 16:36:06 +0000 2016
727174519102775297,"Arista, Ciena, Mellanox Benefit as Cloud Spending Speeds Up, Say Nomura, Benchmark -Tech Trader Daily- $FB $MSFT https://t.co/7yYFuo0sQb",barronstechblog,Mon May 02 16:34:50 +0000 2016
727174501134258176,@JustinPulitzer Ya... it would be nice to see it bounce up and towards 50.50-51.00 $MSFT,Mark4124NH,Mon May 02 16:34:45 +0000 2016
727172974738984960,"#Microsoft Dominates PC OS Market, but Windows 10 Growth Stalls. Read more: https://t.co/5LkPtnqGV0 $MSFT",App_sw_,Mon May 02 16:28:42 +0000 2016
727172819440668672,#Microsoft Surface Phone not to be impacted by Intel cancelling SoFIA and Broxton chips. Read more: https://t.co/5J7EBNwJJf $MSFT,App_sw_,Mon May 02 16:28:05 +0000 2016
727172741552594944,Watching $MSFT for a possible “secure low” set-up over Friday’s HOD $50.25.,JustinPulitzer,Mon May 02 16:27:46 +0000 2016
727172508873449473,"#Microsoft's ""pre-touch sensing"" could change the way we use phones. Read more: https://t.co/OrocvoEHjC $MSFT",App_sw_,Mon May 02 16:26:50 +0000 2016
727172353432506369,#Microsoft's own Win32 apps begin showing up in the Windows Store. Read more: https://t.co/qUAN7nacqm $MSFT,App_sw_,Mon May 02 16:26:13 +0000 2016
727171421969870848,#Microsoft The best Windows Phones of 2016. Read more: https://t.co/sdggiGBWPO $MSFT,App_sw_,Mon May 02 16:22:31 +0000 2016
