date_value,stock_percent_change,sell,down,buy,power,bullish,short
2016-05-17,0.93010499917308498,0.0,5.0,0.0,0.0,0.0,0.0
2016-05-01,1.3801422703669115,0.0,0.0,0.0,0.0,8.0,0.0
2016-05-13,0.48865279018109242,4.0,0.0,0.0,0.0,0.0,0.0
2016-05-06,-0.6507225151363949,0.0,0.0,5.0,0.0,0.0,0.0
2016-05-26,2.8540759136440239,0.0,0.0,0.0,4.0,0.0,4.0
