date_value,stock_percent_change,loss,buy,cheap,value,good
2016-05-04,4.0392771592285905,0.0,0.0,5.0,0.0,0.0
2016-04-28,2.7283974845913233,44.0,0.0,0.0,0.0,0.0
2016-05-15,1.7719941681219455,0.0,0.0,6.0,0.0,6.0
2016-04-25,-0.5820734473286524,0.0,10.0,0.0,0.0,0.0
2016-05-11,0.88269296267899666,0.0,0.0,0.0,9.0,0.0
